"state	command	result"
"00u	GTNN 1	01u"
"00u	TURN 90	00r"
"00u	TURN -90	00l"
"00r	GTNN 1	10r"
"00r	TURN 90	00d"
"00r	TURN -90	00u"
"00d	GTNN 1	00d"
"00d	TURN 90	00l"
"00d	TURN -90	00r"
"00l	GTNN 1	00l"
"00l	TURN 90	00u"
"00l	TURN -90	00d"
"01u	GTNN 1	02u"
"01u	TURN 90	01r"
"01u	TURN -90	01l"
"01r	GTNN 1	11r"
"01r	TURN 90	01d"
"01r	TURN -90	01u"
"01d	GTNN 1	00d"
"01d	TURN 90	00l"
"01d	TURN -90	00r"
"01l	GTNN 1	01l"
"01l	TURN 90	01u"
"01l	TURN -90	01d"
"02u	GTNN 1	02u"
"02u	TURN 90	02r"
"02u	TURN -90	02l"
"02r	GTNN 1	12r"
"02r	TURN 90	02d"
"02r	TURN -90	02u"
"02d	GTNN 1	01d"
"02d	TURN 90	02l"
"02d	TURN -90	02r"
"02l	GTNN 1	02l"
"02l	TURN 90	02u"
"02l	TURN -90	02d"
"10u	GTNN 1	11u"
"10u	TURN 90	10r"
"10u	TURN -90	10l"
"10r	GTNN 1	10r"
"10r	TURN 90	10d"
"10r	TURN -90	10u"
"10d	GTNN 1	10d"
"10d	TURN 90	10l"
"10d	TURN -90	10r"
"10l	GTNN 1	00l"
"10l	TURN 90	10u"
"10l	TURN -90	10d"
"11u	GTNN 1	11u"
"11u	TURN 90	11r"
"11u	TURN -90	11l"
"11r	GTNN 1	21r"
"11r	TURN 90	11d"
"11r	TURN -90	11u"
"11d	GTNN 1	10d"
"11d	TURN 90	11l"
"11d	TURN -90	11r"
"11l	GTNN 1	01l"
"11l	TURN 90	11u"
"11l	TURN -90	11d"
"12u	GTNN 1	12u"
"12u	TURN 90	12r"
"12u	TURN -90	12l"
"12r	GTNN 1	22r"
"12r	TURN 90	12d"
"12r	TURN -90	12u"
"12d	GTNN 1	12d"
"12d	TURN 90	12l"
"12d	TURN -90	12r"
"12l	GTNN 1	02l"
"12l	TURN 90	12u"
"12l	TURN -90	12d"
"20u	GTNN 1	21u"
"20u	TURN 90	20r"
"20u	TURN -90	20l"
"20r	GTNN 1	30r"
"20r	TURN 90	20d"
"20r	TURN -90	20u"
"20d	GTNN 1	20d"
"20d	TURN 90	20l"
"20d	TURN -90	20r"
"20l	GTNN 1	20l"
"20l	TURN 90	20u"
"20l	TURN -90	20d"
"21u	GTNN 1	22u"
"21u	TURN 90	21r"
"21u	TURN -90	21l"
"21r	GTNN 1	21r"
"21r	TURN 90	21d"
"21r	TURN -90	21u"
"21d	GTNN 1	20d"
"21d	TURN 90	21l"
"21d	TURN -90	21r"
"21l	GTNN 1	11l"
"21l	TURN 90	21u"
"21l	TURN -90	21d"
"22u	GTNN 1	22u"
"22u	TURN 90	22r"
"22u	TURN -90	22l"
"22r	GTNN 1	32r"
"22r	TURN 90	22d"
"22r	TURN -90	22u"
"22d	GTNN 1	21d"
"22d	TURN 90	22l"
"22d	TURN -90	22r"
"22l	GTNN 1	12l"
"22l	TURN 90	22u"
"22l	TURN -90	22d"
"30u	GTNN 1	30u"
"30u	TURN 90	30r"
"30u	TURN -90	30l"
"30r	GTNN 1	40r"
"30r	TURN 90	30d"
"30r	TURN -90	30u"
"30d	GTNN 1	30d"
"30d	TURN 90	30l"
"30d	TURN -90	30r"
"30l	GTNN 1	20l"
"30l	TURN 90	30u"
"30l	TURN -90	30d"
"31u	GTNN 1	32u"
"31u	TURN 90	31r"
"31u	TURN -90	31l"
"31r	GTNN 1	31r"
"31r	TURN 90	31d"
"31r	TURN -90	31u"
"31d	GTNN 1	31d"
"31d	TURN 90	31l"
"31d	TURN -90	31r"
"31l	GTNN 1	31l"
"31l	TURN 90	31u"
"31l	TURN -90	31d"
"32u	GTNN 1	32u"
"32u	TURN 90	32r"
"32u	TURN -90	32l"
"32r	GTNN 1	42r"
"32r	TURN 90	32d"
"32r	TURN -90	32u"
"32d	GTNN 1	31d"
"32d	TURN 90	32l"
"32d	TURN -90	32r"
"32l	GTNN 1	22l"
"32l	TURN 90	32u"
"32l	TURN -90	32d"
"40u	GTNN 1	41u"
"40u	TURN 90	40r"
"40u	TURN -90	40l"
"40r	GTNN 1	40r"
"40r	TURN 90	40d"
"40r	TURN -90	40u"
"40d	GTNN 1	40d"
"40d	TURN 90	40l"
"40d	TURN -90	40r"
"40l	GTNN 1	30l"
"40l	TURN 90	40u"
"40l	TURN -90	40d"
"41u	GTNN 1	42u"
"41u	TURN 90	41r"
"41u	TURN -90	41l"
"41r	GTNN 1	41r"
"41r	TURN 90	41d"
"41r	TURN -90	41u"
"41d	GTNN 1	40d"
"41d	TURN 90	41l"
"41d	TURN -90	41r"
"41l	GTNN 1	41l"
"41l	TURN 90	41u"
"41l	TURN -90	41d"
"42u	GTNN 1	42u"
"42u	TURN 90	42r"
"42u	TURN -90	42l"
"42r	GTNN 1	42r"
"42r	TURN 90	42d"
"42r	TURN -90	42u"
"42d	GTNN 1	41d"
"42d	TURN 90	42l"
"42d	TURN -90	42r"
"42l	GTNN 1	32l"
"42l	TURN 90	42u"
"42l	TURN -90	42d"
